rank,name,scores_overall,location,stats_number_students,female,male,female_num,male_num
999,Yokohama National University,19.0–25.9,Japan,9972,29,71,2892,7080
1000,University of Zagreb,19.0–25.9,Croatia,66967,50,50,33484,33484
1001,Ain Shams University,9.8–18.9,Egypt,171700,52,48,89284,82416
1002,Akdeniz University,9.8–18.9,Turkey,50491,55,45,27770,22721
1003,Akita University,9.8–18.9,Japan,5074,35,65,1776,3298
1004,Al-Azhar University,9.8–18.9,Egypt,318158,44,56,139990,178168
1005,Alexandru Ioan Cuza University,9.8–18.9,Romania,23255,65,35,15116,8139
1006,Alzahra University,9.8–18.9,Iran,10590,100,0,10590,0
1007,Amity University,9.8–18.9,India,27278,43,57,11730,15548
1008,"University of the Andes, Venezuela",9.8–18.9,Venezuela,47565,62,38,29490,18075
1009,Andhra University,9.8–18.9,India,9752,51,49,4974,4778
1010,Andrés Bello University (UNAB),9.8–18.9,Chile,44436,52,48,23107,21329
1011,Ankara University,9.8–18.9,Turkey,69324,52,48,36048,33276
1012,Annamalai University,9.8–18.9,India,27369,42,58,11495,15874
1013,University of Antioquia,9.8–18.9,Colombia,40505,51,49,20658,19847
1014,Aoyama Gakuin University,9.8–18.9,Japan,19520,47,53,9174,10346
1015,Assiut University,9.8–18.9,Egypt,79183,45,55,35632,43551
1016,Autonomous University of Baja California,9.8–18.9,Mexico,59812,53,47,31700,28112
1017,Autonomous University of Hidalgo State (UAEH),9.8–18.9,Mexico,33839,56,44,18950,14889
1018,Autonomous University of Nuevo León,9.8–18.9,Mexico,102466,0,0,0,0
1019,Autonomous University of Puebla,9.8–18.9,Mexico,78390,53,47,41547,36843
1020,Autonomous University of San Luis Potosi,9.8–18.9,Mexico,31102,50,50,15551,15551
1021,Autonomous University of the State of Mexico,9.8–18.9,Mexico,57087,59,41,33681,23406
1022,Autonomous University of Yucatán,9.8–18.9,Mexico,16570,49,51,8119,8451
1023,Badji Mokhtar University – Annaba,9.8–18.9,Algeria,40514,52,48,21067,19447
1024,Bahauddin Zakariya University,9.8–18.9,Pakistan,24532,44,56,10794,13738
1025,Bahçeşehir University,9.8–18.9,Turkey,14159,48,52,6796,7363
1026,Belarusian State University,9.8–18.9,Belarus,29230,65,35,19000,10230
1027,University of Bío-Bío,9.8–18.9,Chile,12893,42,58,5415,7478
1028,University of Birjand,9.8–18.9,Iran,11347,56,44,6354,4993
1029,Birmingham City University,9.8–18.9,United Kingdom,19618,62,38,12163,7455
1030,Bogor Agricultural University,9.8–18.9,Indonesia,23044,58,42,13366,9678
1031,Bucharest University of Economic Studies,9.8–18.9,Romania,21447,47,53,10080,11367
1032,Canterbury Christ Church University,9.8–18.9,United Kingdom,11728,67,33,7858,3870
1033,Catholic University of the North,9.8–18.9,Chile,11669,45,55,5251,6418
1034,Ceará State University,9.8–18.9,Brazil,17934,56,44,10043,7891
1035,Chaoyang University of Technology,9.8–18.9,Taiwan,17017,56,44,9530,7487
1036,University of Chester,9.8–18.9,United Kingdom,10303,66,34,6800,3503
1037,Chiba Institute of Technology,9.8–18.9,Japan,9774,12,88,1173,8601
1038,Chubu University,9.8–18.9,Japan,12661,26,74,3292,9369
1039,Chungnam National University,9.8–18.9,South Korea,22773,44,56,10020,12753
1040,Chuo University,9.8–18.9,Japan,26698,35,65,9344,17354
1041,Cochin University of Science and Technology,9.8–18.9,India,8147,36,64,2933,5214
1042,University of Colombo,9.8–18.9,Sri Lanka,29464,56,44,16500,12964
1043,University of Concepción,9.8–18.9,Chile,27077,51,49,13809,13268
1044,University of Constantine 1,9.8–18.9,Algeria,33735,55,45,18554,15181
1045,Corvinus University of Budapest,9.8–18.9,Hungary,10404,54,46,5618,4786
1046,Cukurova University,9.8–18.9,Turkey,41446,45,55,18651,22795
1047,University of Dar es Salaam,9.8–18.9,Tanzania,25282,33,67,8343,16939
1048,Del Rosario University,9.8–18.9,Colombia,9568,0,0,0,0
1049,Democritus University of Thrace,9.8–18.9,Greece,29386,54,46,15868,13518
1050,Dokuz Eylül University,9.8–18.9,Turkey,63639,47,53,29910,33729
1051,Doshisha University,9.8–18.9,Japan,28311,40,60,11324,16987
1052,"University of Economics, Prague",9.8–18.9,Czech Republic,14945,54,46,8070,6875
1053,Ehime University,9.8–18.9,Japan,9419,37,63,3485,5934
1054,The University of Electro-Communications,9.8–18.9,Japan,4806,11,89,529,4277
1055,University of Engineering & Technology (UET) Lahore,9.8–18.9,Pakistan,12467,23,77,2867,9600
1056,Far Eastern Federal University,9.8–18.9,Russian Federation,15480,0,0,0,0
1057,Federal University of Ceará (UFC),9.8–18.9,Brazil,31719,47,53,14908,16811
1058,Federal University of Goiás,9.8–18.9,Brazil,29558,44,56,13006,16552
1059,Federal University of Itajubá,9.8–18.9,Brazil,8997,29,71,2609,6388
1060,Federal University of Lavras,9.8–18.9,Brazil,15389,52,48,8002,7387
1061,Federal University of Pará,9.8–18.9,Brazil,49435,56,44,27684,21751
1062,Federal University of Paraná (UFPR),9.8–18.9,Brazil,32952,51,49,16806,16146
1063,Federal University of Pernambuco,9.8–18.9,Brazil,38264,50,50,19132,19132
1064,Federal University of Rio Grande do Norte (UFRN),9.8–18.9,Brazil,39365,56,44,22044,17321
1065,Federal University of Santa Maria,9.8–18.9,Brazil,26334,56,44,14747,11587
1066,Federal University of Technology – Paraná,9.8–18.9,Brazil,33025,36,64,11889,21136
1067,Federal University of Uberlândia,9.8–18.9,Brazil,20461,0,0,0,0
1068,Federal University of Viçosa,9.8–18.9,Brazil,17340,51,49,8843,8497
1069,Feng Chia University,9.8–18.9,Taiwan,19811,37,63,7330,12481
1070,Fluminense Federal University,9.8–18.9,Brazil,68410,49,51,33521,34889
