date,category,gallup,realmeter,gap
2019-05-21,잘못한다,45,46,1
2019-05-21,잘한다,45,50,5
2019-05-22,모름무응답,9,4,-5
2019-05-22,잘못한다,45,46,1
2019-05-22,잘한다,46,50,4
2019-05-23,모름무응답,10,4,-6
2019-05-23,잘못한다,44,46,2
2019-05-23,잘한다,46,50,4
2019-05-28,모름무응답,10,5,-5
2019-05-28,잘못한다,47,46,-1
2019-05-28,잘한다,43,50,7
2019-05-29,모름무응답,11,4,-7
2019-05-29,잘못한다,46,47,1
2019-05-29,잘한다,44,49,5
2019-05-30,모름무응답,10,5,-5
2019-05-30,잘못한다,45,48,3
2019-05-30,잘한다,45,47,2
2019-06-05,모름무응답,9,5,-4
2019-06-05,잘못한다,46,45,-1
2019-06-05,잘한다,46,50,4
2019-06-11,모름무응답,8,5,-3
2019-06-11,잘못한다,45,47,2
2019-06-11,잘한다,47,48,1
2019-06-12,모름무응답,9,6,-3
2019-06-12,잘못한다,44,46,2
2019-06-12,잘한다,47,47,0
2019-06-13,모름무응답,10,6,-4
2019-06-13,잘못한다,44,45,1
2019-06-13,잘한다,47,49,2
