SEQ,REG_CUSER,REG_SNO,AIR_TYPE,AIR_BUILD_NO,AIR_BUILD_DATE,AIR_AGE,REG_DATE,AIR_LIMIT_MAN,AIR_FLY_WEIGHT,REG_JANG,PROC_TYPE,PRJ_GBN
6,에어팰리스,HL9651,S-61N,61766,77.04.13,42,18.11.22,28,20500lbs,김포공항,구매,항공기사용사업
7,에어팰리스,HL9214,BK117B-1,1085,94.08.16,24,95.08.02,10,3.2ton,김포공항,구매,자가용
1,에어포항,HL8298,CL-600-2B19,7834,03.08.27,15,18.01.08,50,23133kg,포항공항,구매,소형항공기운송사업
1,에어필립,HL8310,EMB-145EP,145418,01.04.11,18,18.01.30,50,20990kg,무안공항,임차,소형항공기운송사업
2,에어필립,HL8320,EMB-145LR,145306,00.09.04,18,18.10.01,50,22000kg,무안공항,임차,소형항공기운송사업
3,에어필립,HL8330,EMB-145LR,145381,18.12.18,0,18.11.15,50,22000kg,무안공항,임차,소형항공기운송사업
1,에이스항공,HL5234,L410UVP-E20,072628,07.09.22,11,07.12.04,21,6.6ton,김해공항,구매,자가용
2,에이스항공,HL9402,SW-4,60.02.02,05.05.27,14,08.02.26,5,1.8ton,김포공항,구매,자가용
1,엔에프에어 주식회사,HL1217,T-206H,T20609087,13.04.04,6,15.04.07,6,3792lbs,제천,구매,항공기사용사업
1,오**(1172),HL1276,C-152,152-85430,82.09.02,36,17.08.14,2,1670lbs,전남 영암군,구매,자가용
1,우리항공,HL9613,S-76B,760346,88.02.15,31,15.03.16,2,11700lbs,김포산업단지,임차,자가용
2,우리항공,HL9634,S-76A++,760298,90.06.15,29,16.12.28,14,4898kg,김포산업단지,구매,항공기사용사업
3,우리항공,HL9248,S-76B,760382,91.09.21,27,91.09.21,14,5.307ton,김포산업단지,구매,항공기사용사업
4,우리항공,HL9250,S-76B,760404,93.06.05,26,93.10.21,14,5.307ton,김포공항,구매,항공기사용사업
1,울산광역시,HL9407,KA-32T,96-17,00.11.21,18,07.12.05,18,11ton,울산광역시 울주군,구매,자가용
1,유비에어,HL9161,BELL206L-3,51204,87.03.05,32,04.01.08,7,1.882ton,대전 헬리코리아 헬기장,구매,항공기사용사업
2,유비에어,HL9162,BELL206L-3,51174,86.03.21,33,04.02.05,7,1.882ton,대전 헬리코리아 헬기장,구매,항공기사용사업
3,유비에어,HL9288,KA-32A,8710,92.02.10,27,05.10.07,15,11ton,대전 헬리코리아 헬기장,구매,항공기사용사업
4,유비에어,HL9406,KA-32A,55-03/014,86.09.30,32,08.02.18,15,11ton,헬리코리아 헬기장,구매,항공기사용사업
5,유비에어,HL9197,B407,53082,96.11.30,22,11.11.21,7,2267kg,대전 헬리코리아 헬기장,구매,항공기사용사업
6,유비에어,HL9304,H-369D,590519 D,79.05.01,40,14.05.21,5,1360kg,헬리코리아 헬기장,구매,항공기사용사업
7,유비에어,HL9103,H-369D,1260043D,77.02.13,42,77.07.30,5,1.519ton,김포공항,구매,항공기사용사업
1,유아이헬리제트,HL9165,BELL206L-3,51271,89.02.02,30,04.12.13,6,1.927ton,예산 한벨헬기장,구매,항공기사용사업
2,유아이헬리제트,HL9290,KA-32A,90-05/008,92.12.31,26,06.09.26,16,12.7ton,예산 한벨헬기장,구매,항공기사용사업
3,유아이헬리제트,HL9295,KA-32A,59-02/009,87.12.20,31,07.01.16,16,12.7ton,예산 한벨헬기장,구매,항공기사용사업
4,유아이헬리제트,HL9307,BELL206L-4,52204,98.01.30,21,15.01.27,7,2064kg,한벨 헬기장,구매,항공기사용사업
5,유아이헬리제트,HL9615,AW109SP,22352,15.12.16,3,15.12.30,7,3175kg,충남 예산,구매,항공기사용사업
6,유아이헬리제트,HL9624,AW109SP,22354,16.03.27,3,16.03.25,8,3175kg,충남 예산,구매,항공기사용사업
7,유아이헬리제트,HL9625,AW109SP,22357,16.05.13,3,16.05.23,8,3175kg,충남 예산,구매,항공기사용사업
1,이**(1265),HL1102,P206E,P20600646,64.10.01,54,06.05.23,6,1.633ton,김포공항,구매,자가용
2,이**(1265),HL1123,R172K,R1722748,78.03.08,41,10.02.10,4,2550lbs,김포공항,구매,자가용
1,이스타항공,HL7567,B737-800,28647,01.06.03,18,01.06.28,189,79ton,청주국제공항,임차,국제항공운송사업
2,이스타항공,HL8269,B737-800,30684,05.04.15,14,12.07.04,189,79.015ton,김포공항,임차,국제항공운송사업
3,이스타항공,HL8023,B737-800,28574,98.07.29,20,14.11.07,189,79015kg,군산공항,임차,국제항공운송사업
4,이스타항공,HL8029,B737-800,28576,98.09.30,20,14.12.24,189,79.015ton,군산공항,임차,국제항공운송사업
5,이스타항공,HL8028,B737-800,30625,02.11.12,16,15.01.26,189,70.534ton,군산공항,임차,국제항공운송사업
6,이스타항공,HL8035,B737-800,33019,04.05.14,15,15.06.19,189,79.015ton,군산공항,임차,국제항공운송사업
7,이스타항공,HL8036,B737-800,28655,01.09.10,17,15.06.26,189,79.015ton,군산공항,임차,국제항공운송사업
8,이스타항공,HL8048,B737-800,34710,06.12.21,12,15.10.01,189,79015kg,군산공항,임차,국제항공운송사업
9,이스타항공,HL8052,B737-800,37761,11.12.30,7,16.03.15,189,79.015ton,군산공항,임차,국제항공운송사업
10,이스타항공,HL8053,B737-800,37766,12.05.03,7,16.04.08,189,79015kg,군산공항,임차,국제항공운송사업
11,이스타항공,HL8057,B737-800,37767,12.06.12,7,16.06.09,189,79.015ton,청주국제공항,임차,국제항공운송사업
12,이스타항공,HL8058,B737-800,37770,12.09.19,6,16.06.30,189,79015kg,청주국제공항,임차,국제항공운송사업
13,이스타항공,HL8096,B737-900ER,35710,07.06.12,12,17.07.13,213,78.017ton,청주국제공항,임차,국제항공운송사업
14,이스타항공,HL8097,B737-900ER,35711,07.07.16,11,17.10.26,213,78.017ton,청주국제공항,임차,국제항공운송사업
15,이스타항공,HL8231,B737-800,33975,05.05.12,14,17.11.08,189,79.015ton,청주국제공항,임차,국제항공운송사업
16,이스타항공,HL8325,B737-800,29659,10.05.28,9,18.06.03,189,79.015ton,청주국제공항,임차,국제항공운송사업
