SEQ,REG_CUSER,REG_SNO,AIR_TYPE,AIR_BUILD_NO,AIR_BUILD_DATE,AIR_AGE,REG_DATE,AIR_LIMIT_MAN,AIR_FLY_WEIGHT,REG_JANG,PROC_TYPE,PRJ_GBN
4,티웨이항공,HL8268,B737-800,30660,03.06.09,16,12.05.25,189,79.017ton,인천국제공항,임차,국제항공운송사업
5,티웨이항공,HL8294,B737-800,32798,04.03.21,15,13.09.30,189,79.015ton,제주국제공항,임차,국제항공운송사업
6,티웨이항공,HL8000,B737-800,34249,06.01.29,13,14.03.04,189,79015kg,대구공항,임차,국제항공운송사업
7,티웨이항공,HL8021,B737-800,34899,06.12.06,12,14.07.18,189,70.987ton,인천국제공항,임차,국제항공운송사업
8,티웨이항공,HL8024,B737-800,36848,10.09.08,8,14.12.16,189,79015kg,광주공항,임차,국제항공운송사업
9,티웨이항공,HL8030,B737-800,41804,15.03.04,4,15.03.05,189,79015kg,김포공항,임차,국제항공운송사업
10,티웨이항공,HL8047,B737-800,29675,07.10.22,11,15.09.25,189,79015kg,김포공항,임차,국제항공운송사업
11,티웨이항공,HL8056,B737-800,36572,08.04.17,11,15.12.10,189,79015kg,인천국제공항,임차,국제항공운송사업
12,티웨이항공,HL8067,B737-800,35279,08.06.27,10,16.03.24,189,79015kg,대구공항,임구,국제항공운송사업
13,티웨이항공,HL8069,B737-800,35000,09.03.31,10,16.04.29,189,78999kg,김포공항,임차,국제항공운송사업
14,티웨이항공,HL8070,B737-800,37535,09.06.30,9,16.07.08,189,78999kg,인천국제공항,임차,국제항공운송사업
15,티웨이항공,HL8086,B737-800,38819,11.01.28,8,16.12.13,189,79015kg,대구공항,임차,국제항공운송사업
16,티웨이항공,HL8098,B737-800,40234,09.07.20,9,17.06.12,189,79015kg,대구공항,임차,국제항공운송사업
17,티웨이항공,HL8220,B737-800,37162,09.05.27,10,17.06.29,189,79015kg,대구공항,임차,국제항공운송사업
18,티웨이항공,HL8095,B737-800,30725,17.06.15,2,17.07.05,189,79015kg,김포공항,임차,국제항공운송사업
19,티웨이항공,HL8300,B737-800,64872,17.12.15,1,17.12.15,189,78999kg,김포공항,임차,국제항공운송사업
20,티웨이항공,HL8306,B737-800,40308,11.02.09,8,18.04.18,189,78999kg,대구공항,임차,국제항공운송사업
21,티웨이항공,HL8323,B737-800,34988,11.09.26,7,18.10.15,189,78999kg,김포공항,임차,국제항공운송사업
22,티웨이항공,HL8326,B737-800,34992,11.09.26,7,18.10.30,189,78999kg,김포공항,임차,국제항공운송사업
23,티웨이항공,HL8324,B737-800,34989,11.09.20,7,18.11.07,189,78999kg,김포공항,임차,국제항공운송사업
24,티웨이항공,HL8327,B737-800,40238,10.11.05,8,18.12.26,189,78999kg,인천국제공항,임차,국제항공운송사업
25,티웨이항공,HL8329,B737-800,40239,10.11.12,8,19.01.09,189,79015kg,인천국제공항,임차,국제항공운송사업
26,티웨이항공,HL8363,B737-800,35791,07.01.17,12,19.03.29,189,78999kg,김포공항,임차,국제항공운송사업
27,티웨이항공,HL8354,B737-800,40246,11.06.03,8,19.05.08,189,78999kg,무안공항,임차,국제항공운송사업
1,티티엠코리아항공,HL1074,C-172P,17276636,86.06.06,33,00.08.18,4,1.08ton,고창비행장,구매,항공기사용사업
2,티티엠코리아항공,HL1192,C-172P,17274016,80.06.10,39,13.12.10,4,2400lbs,김포공항,구매,항공기사용사업
1,펄코리아,HL9480,MI-2,529707036,86.03.28,33,08.12.29,9,3.55ton,김포공항,구매,항공기사용사업
1,포스코,HL9266,S-76C,760515,01.08.31,17,01.09.21,12,5.307ton,포항제철 헬리포트,구매,자가용
2,포스코,HL9291,S-76C,760611,06.07.20,12,06.07.20,12,5.307ton,김포공항,구매,자가용
1,플라잉타이거즈,HL1137,PA-25-235,25-7405688,74.07.30,44,10.07.27,1,1.315ton,전남 영암군,구매,항공기사용사업
1,하나항공,HL1105,T-207A,20700727,81.10.08,37,07.04.20,8,"3,800lbs",김포공항,구매,항공기사용사업
2,하나항공,HL9477,AS-355F1,5136,94.08.04,24,08.10.17,7,2.6ton,김포공항,구매,항공기사용사업
1,하이에어,HL5243,ATR 72,862,09.04.20,10,19.05.23,50,23000kg,울산공항,구매,소형항공기운송사업
1,학교법인 일현학원,HL1280,C-172S,172S8615,00.10.11,18,18.09.19,4,2550lbs,한서대학교 태안비행장,구매,자가용
1,학교법인 청석학원,HL1176,DA 40 NG,40.N139,13.10.22,5,14.01.22,4,1280kg,청주국제공항,구매,자가용
2,학교법인 청석학원,HL1177,DA 40 NG,40.N140,13.10.28,5,14.01.22,4,1280kg,청주국제공항,구매,자가용
3,학교법인 청석학원,HL1178,DA 40 NG,40.N141,13.10.23,5,14.01.22,4,1280kg,청주국제공항,구매,자가용
4,학교법인 청석학원,HL1179,DA 40 NG,40.N142,13.11.06,5,14.01.22,4,1280kg,청주국제공항,구매,자가용
5,학교법인 청석학원,HL1251,DA-40NG,40.N298,15.09.30,3,16.02.29,4,1280kg,무안공항,구매,자가용
6,학교법인 청석학원,HL1252,DA-40NG,40.N299,15.10.01,3,16.02.29,4,1280kg,무안공항,구매,자가용
7,학교법인 청석학원,HL1253,DA-40NG,40.N300,15.10.13,3,16.02.29,4,1280kg,무안공항,구매,자가용
8,학교법인 청석학원,HL1254,DA-40NG,40.N301,15.10.21,3,16.02.29,4,1280kg,무안공항,구매,자가용
9,학교법인 청석학원,HL2046,DA 42,42.N232,16.11.10,2,17.05.11,4,1999kg,무안공항,구매,자가용
1,학교법인 함주학원,HL6142,ENSTROM 280FX,2112,05.09.14,13,05.11.04,3,2600lbs,한서대학교 태안비행장,구매,자가용
2,학교법인 함주학원,HL1095,C-172S,172S10084,05.12.22,13,06.04.07,4,2550lbs,한서대학교 태안비행장,구매,자가용
3,학교법인 함주학원,HL1096,C-172S,172S10092,05.12.22,13,06.04.07,4,1.157ton,한서대학교 태안비행장,구매,자가용
4,학교법인 함주학원,HL1097,C-172S,172S10047,05.12.21,13,06.04.07,4,2550lbs,한서대학교 태안비행장,구매,자가용
5,학교법인 함주학원,HL1101,C-172S,172S10185,06.05.08,13,06.07.18,4,1.157ton,한서대학교 태안비행장,구매,자가용
6,학교법인 함주학원,HL9175,ENSTROM 480B,5100,06.12.12,12,06.12.12,5,1.361ton,한서대학교 태안비행장,구매,자가용
7,학교법인 함주학원,HL5231,BEECH 1900D,UE-317,98.04.22,21,07.03.23,19,7.7ton,김포공항,구매,자가용
8,학교법인 함주학원,HL1083,C-172S,172S10766,08.07.11,10,08.10.15,4,1.157ton,한서대학교 태안비행장,구매,자가용
9,학교법인 함주학원,HL1084,C-172S,172S10767,08.07.11,10,08.10.15,4,1.157ton,한서대학교 태안비행장,구매,자가용
10,학교법인 함주학원,HL1085,C-172S,172S10769,08.07.14,10,08.10.15,4,1157kg,한서대학교 태안비행장,구매,자가용
11,학교법인 함주학원,HL1109,C-172S,172S10775,08.07.14,10,08.10.15,4,1.157ton,한서대학교 태안비행장,구매,자가용
12,학교법인 함주학원,HL8283,C525,525-0688,09.05.20,10,09.07.30,8,10700lbs,한서대학교 태안비행장,구매,자가용
13,학교법인 함주학원,HL9488,BELL412SP,33199,89.08.28,29,10.05.26,13,5.398ton,한서대학교 태안비행장,구매,자가용
14,학교법인 함주학원,HL1125,C-172S,172S10689,08.03.06,11,10.06.09,4,2550lbs,한서대학교 태안비행장,구매,자가용
15,학교법인 함주학원,HL1128,C-172S,172S10513,07.05.16,12,10.06.09,4,2550lbs,한서대학교 태안비행장,구매,자가용
16,학교법인 함주학원,HL1124,C-172S,172S10687,08.03.06,11,10.06.30,4,2550lbs,한서대학교 태안비행장,구매,자가용
17,학교법인 함주학원,HL1126,C-172S,172S10520,07.05.24,12,10.06.30,4,2550lbs,한서대학교 태안비행장,구매,자가용
18,학교법인 함주학원,HL2031,PA44-180,4496275,10.01.15,9,10.07.07,4,3800lbs,한서대학교 태안비행장,구매,자가용
19,학교법인 함주학원,HL2032,PA44-180,4496276,10.01.12,9,10.07.07,4,3800lbs,한서대학교 태안비행장,구매,자가용
20,학교법인 함주학원,HL5238,BEECH 1900D,UE-222,96.06.25,23,10.07.13,18,7.7ton,한서대학교 태안비행장,구매,자가용
21,학교법인 함주학원,HL1142,C-172S,172S10732,08.03.08,11,11.03.22,4,2550lbs,한서대학교 태안비행장,구매,자가용
22,학교법인 함주학원,HL1143,C-172S,172S10731,08.03.08,11,11.03.22,4,2550lbs,한서대학교 태안비행장,구매,자가용
23,학교법인 함주학원,HL1152,C-172S,172S11141,11.11.14,7,12.02.15,4,1157kg,한서대학교 태안비행장,구매,자가용
24,학교법인 함주학원,HL1159,EA 300/LT,LT016,12.05.21,7,12.10.04,2,950kg,한서대학교 태안비행장,구매,자가용
25,학교법인 함주학원,HL0306,ASK 21,21899,12.12.19,6,13.05.06,2,600kg,한서대학교 태안비행장,구매,자가용
26,학교법인 함주학원,HL1169,C-172S,172S10609,07.10.18,11,13.10.25,4,1157kg,한서대학교 태안비행장,구매,자가용
27,학교법인 함주학원,HL1170,C-172S,172S10652,07.12.13,11,13.10.25,4,1157kg,한서대학교 태안비행장,구매,자가용
28,학교법인 함주학원,HL1186,C-172S,172S11235,13.02.20,6,14.01.21,4,1156kg,한서대학교 태안비행장,구매,자가용
29,학교법인 함주학원,HL1198,C-172S,172S11427,14.05.20,5,14.07.23,4,1157kg,한서대학교 태안비행장,구매,자가용
30,학교법인 함주학원,HL1268,C-172S,172S12125,18.05.10,1,18.11.13,4,1157kg,한서대학교 태안비행장,구매,자가용
31,학교법인 함주학원,HL1269,C-172S,172S12132,18.05.10,1,18.11.13,4,1157kg,충남태안 비행장,구매,자가용
32,학교법인 함주학원,HL1270,C-172S,172S12138,18.05.10,1,18.11.13,4,1157kg,한서대학교 태안비행장,구매,자가용
33,학교법인 함주학원,HL1271,C-172S,172S12142,18.05.10,1,18.11.13,4,1157kg,한서대학교 태안비행장,구매,자가용
34,학교법인 함주학원,HL1272,C-172S,172S12150,18.05.10,1,18.11.13,4,1157kg,한서대학교 태안비행장,구매,자가용
1,한국공항공사,HL8219,C-525,525-0940,17.03.03,2,17.03.21,5,4853kg,울진비행장,구매,항공기사용사업
1,한국교통대학교,HL1195,SR20,2245,14.02.11,5,14.03.28,4,1361kg,청주국제공항,구매,자가용
2,한국교통대학교,HL1207,SR20,2265,14.06.30,4,14.09.03,4,1361kg,무안공항,구매,자가용
3,한국교통대학교,HL1208,SR20,2266,14.06.30,4,14.09.03,4,1361kg,무안공항,구매,자가용
4,한국교통대학교,HL1209,SR20,2267,14.06.30,4,14.09.03,4,1361kg,무안공항,구매,자가용
5,한국교통대학교,HL1258,SR20,2299,15.09.30,3,15.12.03,4,1361kg,무안공항,구매,자가용
1,한국방송공사,HL9278,BELL430,49111,05.08.01,13,06.07.06,8,4218kg,김포공항,구매,자가용
1,한국소아링협회,HL0305,K-8B,8636,66.10.06,52,02.06.27,2,0.31ton,수색비행장,구매,자가용
1,한국에스지티,HL5119,C-208B,208B1178,06.03.03,13,09.12.15,11,4.127ton,김포공항,구매,항공기사용사업
1,한국항공,HL1138,C-172S,172S8979,01.11.14,17,10.12.29,4,2550lbs,청주국제공항,구매,항공기사용사업
2,한국항공,HL1181,C-172S,172S8821,01.05.03,18,13.10.11,4,2550lbs,청주국제공항,구매,항공기사용사업
3,한국항공,HL1182,C-172R,17280224,97.11.06,21,13.10.11,4,2457lbs,청주국제공항,구매,항공기사용사업
1,한국항공대학교,HL0304,L23,008715,00.08.29,18,00.10.24,2,510kg,수색비행장,구매,자가용
2,한국항공대학교,HL1086,C-172R,17280996,01.02.16,18,01.04.23,4,1.111ton,수색비행장,구매,자가용
3,한국항공대학교,HL1087,C-172R,17280998,01.02.16,18,01.04.23,4,1.111ton,수색비행장,구매,자가용
4,한국항공대학교,HL1131,C-172S,172S10967,10.06.30,8,10.07.27,4,1156kg,수색비행장,구매,자가용
5,한국항공대학교,HL1132,C-172S,172S10968,10.06.30,8,10.07.27,4,1156kg,수색비행장,구매,자가용
6,한국항공대학교,HL1133,C-172S,172S10969,10.06.30,8,10.07.27,4,1156kg,수색비행장,구매,자가용
7,한국항공대학교,HL1134,C-172S,172S10976,10.07.12,8,10.08.06,4,1156kg,수색비행장,구매,자가용
8,한국항공대학교,HL1135,C-172S,172S10978,10.07.12,8,10.08.06,4,1156kg,수색비행장,구매,자가용
9,한국항공대학교,HL1136,C-172S,172S10980,10.07.12,8,10.08.06,4,1156kg,수색비행장,구매,자가용
10,한국항공대학교,HL2035,DA 42 NG,42.N014,11.01.12,8,11.03.16,4,1900kg,수색비행장,구매,자가용
11,한국항공대학교,HL1171,C-172S,172S11237,12.09.26,6,12.11.15,4,1156kg,수색비행장,구매,자가용
12,한국항공대학교,HL1172,C-172S,172S11238,12.09.26,6,12.11.15,4,1156kg,수색비행장,구매,자가용
13,한국항공대학교,HL1173,C-172S,172S11316,13.06.25,5,13.08.12,4,2550lbs,수색비행장,구매,자가용
14,한국항공대학교,HL1174,C-172S,172S11317,13.08.12,5,13.08.12,4,2550lbs,수색비행장,구매,자가용
15,한국항공대학교,HL1175,C-172S,172S11318,13.06.25,5,13.08.12,4,2550lbs,수색비행장,구매,자가용
16,한국항공대학교,HL1221,C-172S,172S11533,15.02.10,4,15.04.08,4,2550lbs,수색비행장,구매,자가용
17,한국항공대학교,HL1222,C-172S,172S11534,15.02.19,4,15.04.08,4,2550lbs,수색비행장,구매,자가용
18,한국항공대학교,HL1223,C-172S,172S11535,15.02.24,4,15.04.08,4,2550lbs,수색비행장,구매,자가용
19,한국항공대학교,HL1224,C-172S,172S11536,15.02.23,4,15.04.08,4,2550lbs,수색비행장,구매,자가용
20,한국항공대학교,HL1079,C-172R,17280466,98.12.07,20,99.03.12,4,1.111ton,수색비행장,구매,자가용
21,한국항공대학교,HL1081,C-172R,17280511,98.12.07,20,99.03.12,4,1.111ton,수색비행장,구매,자가용
22,한국항공대학교,HL1082,C-172R,17280541,98.12.03,20,99.03.12,4,1.111ton,수색비행장,구매,자가용
1,한국항공선교회,HL1039,TU-206G,U20605702,80.03.05,39,92.05.19,6,1.62ton,김포공항,구매,자가용
1,한국항공우주산업,HL1200,KC-100,13-001,13.12.04,5,13.12.10,4,1633kg,사천공항,구매,자가용
2,한국항공우주산업,HL9648,EC-155B1,6825,08.10.12,10,18.09.18,6,4920kg,한국항공우주산업,구매,소형항공기운송사업
1,한라스카이에어,HL2004,P68C TC,322-27-TC,84.09.30,34,07.08.24,6,2.084ton,김포공항,구매,항공기사용사업
1,한서대학교산학협력단,HL9169,480B,5081,05.09.14,13,05.11.07,4,3000lbs,한서대학교 태안비행장,구매,항공기사용사업
2,한서대학교산학협력단,HL5200,C90GT,LJ1801,06.12.11,12,06.12.22,8,4.581kg,한서대학교 태안비행장,구매,항공기사용사업
1,한양항공,HL1070,MXT-7,14038-C,91.10.08,27,92.04.27,4,1.136ton,전북 남원요천비행장,구매,항공기사용사업
1,한화케미칼(주),HL7227,B737-700,35977,06.09.15,12,10.09.30,19,77.564ton,김포공항,구매,자가용
2,한화케미칼(주),HL9254,S-76C,760467,97.03.07,22,97.03.21,8,5.307ton,김포공항,구매,자가용
1,헬리월드,HL9479,MI-2,5411037119,89.11.24,29,08.12.24,9,3.550ton,김포산업단지,구매,항공기사용사업
1,헬리코리아,HL9143,H-369D,490487D,79.04.13,40,00.06.14,5,1.519ton,대전 헬리코리아 헬기장,구매,항공기사용사업
2,헬리코리아,HL9154,BELL214B-1,28008,80.03.20,39,02.10.31,16,16000lbs,대전 헬리코리아 헬기장,구매,항공기사용사업
3,헬리코리아,HL9159,BELL214B-1,28037,80.09.20,38,03.02.05,16,16000lbs,대전 헬리코리아 헬기장,구매,항공기사용사업
4,헬리코리아,HL9160,BELL214B-1,28070,82.01.27,37,03.04.09,16,5.727ton,대전 헬리코리아 헬기장,구매,항공기사용사업
5,헬리코리아,HL9270,S-76C,760528,02.10.31,16,03.06.05,10,5.307ton,헬리코리아 헬기장,구매,소형항공기운송사업
6,헬리코리아,HL9285,S-76C,760565,04.06.01,15,04.06.01,14,5.307ton,헬리코리아 헬기장,구매,소형항공기운송사업
7,헬리코리아,HL9171,BELL214B-1,28044,78.12.30,40,05.12.01,16,16000lbs,대전,구매,항공기사용사업
8,헬리코리아,HL9289,KA-32A,6004/007,89.04.29,30,06.01.03,15,11ton,대전 헬리코리아 헬기장,구매,항공기사용사업
9,헬리코리아,HL9475,KA-32A,61-02,08.10.01,10,08.10.01,16,11ton,대전 헬리코리아 헬기장,구매,항공기사용사업
10,헬리코리아,HL9489,S-76C,760521,01.08.01,17,10.06.24,16,5.307ton,대전 헬리코리아 헬기장,구매,소형항공기운송사업
11,헬리코리아,HL9191,B407,53986,10.01.30,9,10.11.19,7,2722kg,대전 헬리코리아 헬기장,구매,항공기사용사업
12,헬리코리아,HL9200,BK117C-1,1129,00.12.04,18,12.06.07,8,3350kg,대전 헬리코리아 헬기장,구매,소형항공기운송사업
13,헬리코리아,HL9628,AW169,69041,16.10.25,2,16.11.21,10,4600kg,대전 헬리코리아 헬기장,구매,항공기사용사업
14,헬리코리아,HL9627,AW169,69032,16.10.21,2,16.11.28,10,4600kg,헬리코리아 헬기장,구매,항공기사용사업
15,헬리코리아,HL9631,AW169,69051,16.12.15,2,16.12.26,10,4600kg,대전 헬리코리아 헬기장,임차,항공기사용사업
16,헬리코리아,HL9643,AW109SP,22377,17.10.26,1,17.11.21,8,3175kg,대전 헬리코리아 헬기장,구매,항공기사용사업
17,헬리코리아,HL9644,AW109SP,22379,17.11.30,1,17.12.08,8,3175kg,헬리코리아 헬기장,구매,항공기사용사업
1,현대자동차,HL9474,S-76C,760747,08.11.24,10,09.08.18,10,5.307ton,김포공항,구매,자가용
2,현대자동차,HL8290,B737-700,41375,13.01.30,6,14.07.16,17,77.564ton,김포공항,구매,자가용
1,홍익항공,HL9146,H-369D,390482D,79.03.12,40,01.02.15,5,1.363ton,김포공항,구매,항공기사용사업
2,홍익항공,HL9151,AS-350B1,1966,86.12.09,32,02.03.18,6,2200kg,김포공항,구매,항공기사용사업
3,홍익항공,HL9158,BELL214B-1,28046,80.05.20,39,03.02.05,18,5.67ton,김포공항,구매,항공기사용사업
4,홍익항공,HL9166,AS-350B2,3029,98.02.05,21,04.12.28,6,2250kg,김포공항,구매,항공기사용사업
5,홍익항공,HL9174,AS-350B2,2689,92.11.27,26,06.04.19,6,2250kg,김포공항,구매,항공기사용사업
6,홍익항공,HL9189,AS-350B2,1219,80.10.12,38,08.10.13,6,2250kg,김포공항,구매,항공기사용사업
7,홍익항공,HL9199,AS-350B2,2332,90.04.26,29,12.02.24,6,2250kg,김포공항,구매,항공기사용사업
8,홍익항공,HL9302,AS-350B2,2674,92.09.11,26,13.02.18,6,2250kg,김포공항,구매,항공기사용사업
9,홍익항공,HL9616,EC135P2+,0695,08.04.30,11,13.10.08,5,2910kg,김포공항,구매,항공기사용사업
10,홍익항공,HL9227,BK117,1004,84.11.12,34,91.03.14,7,2850kg,김포공항,구매,항공기사용사업
11,홍익항공,HL9116,BELL214B-1,28058,81.04.21,38,94.03.29,18,5.67ton,김포공항,구매,항공기사용사업
